Date,ppt (mm),tmin (degrees C),tmean (degrees C),tmax (degrees C),vpdmin (hPa),vpdmax (hPa)
2010-01,79.37,0.5,6.5,12.5,1.65,9.64
2010-02,63.34,1.6,7.5,13.4,1.35,9.88
2010-03,18.98,3.3,9.9,16.4,2.93,14.6
2010-04,7.03,5.5,13.2,20.8,4.24,21.61
2010-05,2.93,9.1,17.2,25.2,7.19,29.16
2010-06,1.2,16.5,25.5,34.6,13.4,50.66
2010-07,15.46,21.5,30.2,38.9,17.25,62.13
2010-08,22.14,19.8,28.1,36.4,13.47,52.94
2010-09,0.1,15.6,25,34.4,13.35,50.64
2010-10,52.68,11.6,18.2,24.9,5.78,25.07
2010-11,12.52,2.5,9.3,16,3.29,15.07
2010-12,150.15,1.8,7.5,13.2,1.39,8.48
2011-01,1.08,-0.3,6.1,12.4,1.95,11.43
2011-02,63.77,-0.7,6,12.7,2.18,11.26
2011-03,21.72,4.3,10.8,17.3,2.9,14.75
2011-04,10.41,6.1,14,21.9,4.18,22.46
2011-05,8.76,8.9,16.8,24.8,5.47,27.99
2011-06,0,15.7,24.7,33.7,13.94,48.66
2011-07,19.92,19.6,28.1,36.5,11.98,52.66
2011-08,1.95,20.8,29.4,37.9,15.89,58.22
2011-09,10.58,16.8,25.3,33.8,11.09,46.17
2011-10,52.47,9.4,17.1,24.8,5.98,26.51
2011-11,14.34,2.6,9.4,16.2,2.29,13.6
2011-12,4.42,-1,5.3,11.6,2.25,10.34
2012-01,15.09,0.9,7.8,14.8,3.31,13.79
2012-02,24.84,1.6,8,14.3,2.53,12.49
2012-03,19.64,3.4,11,18.5,3.62,18.13
2012-04,11.18,8.4,16.2,24.1,6.24,27.55
2012-05,0,13.8,22.3,30.8,12.43,41.71
2012-06,0,18,26.9,35.8,18.21,55.46
2012-07,30.49,20.7,28.7,36.7,13.03,54.37
2012-08,36.47,21.1,29,36.9,10.28,51.75
2012-09,27.22,17.4,25,32.7,10.22,41.63
2012-10,25.77,10.4,18.1,25.9,6.97,28.68
2012-11,0.78,5.3,12.7,20,4.62,19.3
2012-12,34.48,0.2,5.5,10.9,1.5,8.26
2013-01,13.31,-1.5,4.6,10.7,2.48,10.14
2013-02,7.54,-0.3,6.3,12.9,2.39,11.72
2013-03,22.66,5.7,13.1,20.5,4.85,20.57
2013-04,14.83,8.3,16,23.7,6.53,26.71
2013-05,5.07,12.4,20.6,28.8,9.76,35.98
2013-06,0,18.8,27.7,36.7,19.22,57.89
2013-07,32.57,22.3,30,37.8,13.18,56.03
2013-08,20,19.7,27.6,35.5,12.74,49.51
2013-09,86.97,15,22.3,29.6,4.88,31.87
2013-10,4.9,7.8,15.5,23.1,5.48,24.3
2013-11,24.67,4.4,11.2,18.1,3.62,16.25
2013-12,6.42,-0.7,5.4,11.4,2.67,10.32
2014-01,1.77,1.5,8.7,15.8,3.95,15.16
2014-02,13.78,3.2,9.9,16.6,3.61,15.39
2014-03,16.92,5.4,12.7,20,4.64,20.14
2014-04,7.14,8.1,16,23.9,6.72,27.27
2014-05,4.53,12.1,20.6,29.2,10.15,38.29
2014-06,0,18.2,26.7,35.2,17.56,53.53
2014-07,2.86,22,29.8,37.6,14.93,55.22
2014-08,65.59,18,25.7,33.4,8.09,42.39
2014-09,95.49,17.4,25.1,32.8,9.1,41.37
2014-10,0,11.6,19.4,27.1,7.54,29.72
2014-11,3.64,5,11.9,18.9,4.56,17.53
2014-12,16.5,2,7.3,12.6,1.57,8.95
2015-01,21.1,2.4,8.2,14.1,2.32,11.39
2015-02,35.62,4.8,11.7,18.6,4.19,17.55
2015-03,45.22,7,14.2,21.4,5.24,21.91
2015-04,8.61,7,15.2,23.4,6.08,26.04
2015-05,38.48,10.5,18,25.6,4.82,27.8
2015-06,3.76,19.4,28,36.5,16.73,56.37
2015-07,22.89,19.8,27.9,35.9,12.62,50.94
2015-08,16.54,21.3,29.2,37.1,12.69,53.97
2015-09,9.71,17.8,26,34.1,9.81,45.67
2015-10,32.93,13.2,20.1,27.1,5.88,28.74
2015-11,12.44,2.8,9.4,16,3.24,14.7
2015-12,17.96,-1.3,5,11.3,1.84,9.69
2016-01,49.86,0.1,5.8,11.5,1.61,8.81
2016-02,15.68,2.9,10.3,17.7,3.63,17.01
2016-03,4.25,5.5,12.9,20.4,4.49,20.21
2016-04,66.19,8.4,15.4,22.4,4.82,22.59
2016-05,12.71,11.8,19.2,26.7,7.41,30.25
2016-06,3.06,19.8,28.6,37.4,18.22,59.37
2016-07,15.81,21.8,30.3,38.8,16.9,62.21
2016-08,36.57,19.6,27.7,35.9,9.94,50.31
2016-09,2.87,15.6,23.7,31.7,9.87,40.76
2016-10,14.39,12.1,19.5,26.8,7.51,29.01
2016-11,14.66,5.7,12.9,20.1,4.01,19.16
2016-12,45.83,0.2,5.9,11.7,1.87,9.1
2017-01,70.05,0.3,5.3,10.3,1.07,6.91
2017-02,23.9,3.9,9.4,14.9,1.68,11.12
2017-03,8.29,6.6,13.8,21,4.92,21.16
2017-04,10.94,7,15,23,5.24,24.34
2017-05,1.84,11.9,20.1,28.2,8.68,35.11
2017-06,0,19.4,28.1,36.8,19.08,58.83
2017-07,23.49,22.4,30.4,38.3,14.63,58.6
2017-08,10.94,20.7,28.8,36.8,11.43,52.83
2017-09,16.15,15.5,23.3,31.2,8.13,39.09
2017-10,0,9.7,18,26.2,8.2,30.04
2017-11,1.36,7,14,21.1,4.96,19.21
2017-12,0,0.9,8.1,15.4,3.9,15.09
2018-01,38.08,3,9.2,15.5,2.87,12.95
2018-02,13.57,0.9,7.7,14.4,2.5,13.21
2018-03,17.13,3.9,10.5,17.1,2.88,15.18
2018-04,7.23,9.6,17.8,26.1,7.55,30.66
2018-05,4.51,13.3,21.2,29.1,9.73,36.47
2018-06,0,18.9,27.7,36.5,18.16,57.2
2018-07,21.84,22.5,30.7,38.9,13.74,59
2018-08,16.97,21.2,29.5,37.7,12.97,55.81
2018-09,3.52,15.2,24.8,34.4,10.89,48.58
2018-10,37.28,9.4,16.1,22.8,3.61,20.49
2018-11,12.99,3.2,10.5,17.7,4.16,16.77
2018-12,2.39,0.6,6.7,12.9,1.99,10.6
2019-01,55.56,0.6,6.3,12,1.59,9.42
2019-02,96.66,-1,4.4,9.9,1.31,8.35
2019-03,62.59,4.9,10.8,16.6,2.43,13.77
2019-04,18.6,8.6,16.3,24.1,4.62,25.32
2019-05,46.34,8.9,16.3,23.7,3.58,24.03
2019-06,4.37,16.6,25.2,33.8,11.94,47.38
2019-07,2.17,21.2,29.6,38,18.26,59.51
2019-08,3.07,20.9,29.5,38.1,16.06,59.72
2019-09,0,16.6,24.8,32.9,11.7,44.73
2019-10,0,6,14.6,23.2,6.99,26.58
2019-11,60.54,4.2,11.7,19.2,4.39,19.3
2019-12,24.06,0.7,6,11.2,1.09,7.87
2020-01,2.18,0.6,7,13.4,1.98,10.85
2020-02,20.29,0.4,7.5,14.5,2.91,13.39
2020-03,68.32,4.5,10.3,16,1.78,12.4
2020-04,21.99,7.8,15.1,22.5,4.55,22.65
2020-05,0,13.8,22.2,30.7,10.75,40.45
2020-06,0,17.4,25.8,34.3,15.06,50.19
2020-07,0,21.5,29.9,38.4,20.09,61.96
2020-08,1.94,22.2,30.9,39.6,19.51,66.17
2020-09,0,17.4,26,34.5,13.74,51.13
2020-10,0,11.3,20.1,28.8,10.82,36.94
2020-11,1.89,4.6,11.8,19,4.85,19.34
2020-12,0,-0.5,6.3,13.1,3.12,12.58
2021-01,35.48,0.2,6.3,12.4,2.45,10.62
2021-02,1.38,1.5,7.9,14.3,3.18,13.08
2021-03,29.15,2.8,9.5,16.2,3.29,15.55
2021-04,14.68,8.7,16.5,24.3,7.35,27.68
2021-05,2.25,12.8,21.1,29.3,10.77,37.93
2021-06,0,20.6,29,37.4,17.28,60.32
2021-07,48.56,22.3,30.1,38,12.57,55.85
2021-08,4.76,21,29,37,13.21,54.02
2021-09,20.43,17.6,25.6,33.6,11.29,45.66
2021-10,25.92,8.2,15.4,22.5,4.21,21.95
2021-11,0,6.6,13.9,21.2,5.5,21.02
2021-12,75.36,1.4,6.8,12.3,2.51,10.54
2022-01,4.32,0.2,6.6,13.1,2.97,11.81
2022-02,4.23,-0.1,7.1,14.3,3.5,14.32
2022-03,7.3,4.2,11.5,18.8,4.72,19.42
2022-04,6.02,7.7,15.5,23.3,7.4,26.37
2022-05,0,11.6,19.6,27.6,10.22,34.83
2022-06,0.66,19.1,27,35,16.02,51.98
2022-07,31.49,22.9,30.2,37.6,16.13,55.49
2022-08,49.79,21,28,34.9,8.73,42.93
2022-09,40.16,19.2,26.3,33.4,11.96,44.17
2022-10,6.92,11.4,18.6,25.9,7.89,29.2
2022-11,17.58,1.5,7.6,13.8,3.38,12.69
2022-12,29.46,0.3,5.9,11.5,1.98,9.35
2023-01,110.56,0.1,4.7,9.3,1.34,7.07
2023-02,26.52,-1.2,5.1,11.3,2.34,10.45
2023-03,89.53,2.1,7.2,12.3,1.91,9.97
2023-04,3.58,6.8,14.4,21.9,6.01,23.82
2023-05,4.87,13.4,21,28.6,8.7,34.3
2023-06,3.63,16,23.8,31.6,11.2,41.51
2023-07,0.63,23.8,31.9,40.1,20.84,67.31
2023-08,32.64,20.6,27.9,35.2,11.24,47.26
2023-09,55.52,16.4,23.5,30.6,8.38,35.88
2023-10,4.96,11.1,18.7,26.3,8.04,29.86
2023-11,10.89,5.2,11.8,18.4,4.69,17.21
2023-12,4.3,2.8,8.9,15,3.65,13.46
2024-01,42.69,1.1,6.3,11.6,2.14,9.62
2024-02,67.11,3.2,8.4,13.7,1.67,10.19
2024-03,30.71,4.5,10.7,16.8,3.15,14.35
2024-04,13.12,7.9,15.3,22.7,5.33,23.78
2024-05,0,12.4,20.4,28.3,9.37,34.76
2024-06,2.13,20.9,29.1,37.3,17.61,58.08
2024-07,8.39,23.9,32.3,40.8,20.67,70.35
2024-08,15.06,22.7,29.9,37.2,15.42,54.01
2024-09,0.95,18.5,26.6,34.7,14.1,49.08
2024-10,4.19,14,21.7,29.3,10.71,37.88
2024-11,4.98,2.8,9.2,15.6,3.33,14
2024-12,0.02,4.2,9.9,15.5,4.49,13.93
